Name,Address,District,Assignmode,Primaryormiddle,Quality,WGS84lat,WGS84lon,Correspondmiddle,Correspondmiddle_quality,Correspondmiddle_promoterate
北京林业大学附属小学,北京市海淀区清华东路35号,Haidian,Random,primary,3,39.99964145,116.3392251,None,None,0
北京汇文中学,北京市东城区培新街6号,Dongcheng,None,middle,5,39.8896268,116.4259753,None,None,0
北京汇文实验小学朝阳学校,北京市朝阳区弘善家园119号楼,Dongcheng,Random,primary,5,39.86783124,116.4486464,None,None,0
北京理工大学附属中学,北京市海淀区车道沟东路1号,Haidian,None,middle,3,39.94765102,116.2975642,None,None,0
北京理工大学附属中学,北京市海淀区车道沟东路1号,Haidian,Nineyears,primary,5,39.94765102,116.2975642,北京理工大学附属中学,3,1
北京理工大学附属中学分校,北京市海淀区紫竹院南路11号,Haidian,None,middle,5,39.9339043,116.3134717,None,None,0
北京理工大学附属小学,北京市海淀区中关村南大街5号,Haidian,Direct,primary,3,39.96254877,116.3077329,北京理工大学附属中学分校,5,1
北京石油学院附属中学,北京市海淀区学院路20号,Haidian,None,middle,5,39.99259012,116.3515613,None,None,0
北京石油学院附属实验小学,北京市海淀区清河宝盛里观景园22号,Haidian,Random,primary,5,40.03264366,116.3660286,None,None,0
北京石油学院附属小学,北京市海淀区学院路20号,Haidian,Random,primary,5,39.99259012,116.3515613,None,None,0
北京石油学院附属第二实验小学,北京市海淀区清河镇宝盛东路32号,Haidian,Random,primary,2,40.03473521,116.3718134,None,None,0
北京科技大学附属中学,北京市海淀区志新路36号,Haidian,None,middle,5,39.99200375,116.3559833,None,None,0
北京科技大学附属小学,北京市海淀区学院路30号,Haidian,Random,primary,3,39.99178516,116.3502946,None,None,0
北京第一实验小学,北京市西城区南新华街17号,Xicheng,Random,primary,2,39.89580079,116.3779836,None,None,0
北京第一实验小学前门分校,北京市西城区和平门外东街甲5号,Xicheng,Direct,primary,5,39.89569184,116.37791,北京师范大学附属中学,5,0.5
北京第一师范学校附属小学,北京市东城区桃杨路7号,Dongcheng,Random,primary,2,39.86747513,116.4036455,None,None,0
北京第二外国语学院附属中学,北京市朝阳区管庄东里第二外国语学院附属中学,Chaoyang,None,middle,5,39.91350446,116.5585426,None,None,0
北京第二外国语学院附属中学,北京市朝阳区管庄东里第二外国语学院附属中学,Chaoyang,Nineyears,primary,5,39.91350446,116.5585426,北京第二外国语学院附属中学,5,1
北京第二外国语学院附属小学,北京市朝阳区京通苑39号楼,Chaoyang,Random,primary,5,39.91285802,116.5892656,None,None,0
北京第二实验小学,北京市西城区新文化街111号,Xicheng,Random,primary,1,39.90260858,116.3614229,None,None,0
北京第二实验小学广外分校,北京市西城区广安门外红居南街2号,Xicheng,Random,primary,5,39.88138277,116.3332782,None,None,0
北京第二实验小学德胜校区,北京市西城区安德路142号,Xicheng,Random,primary,4,39.94947403,116.3760994,None,None,0
北京第二实验小学朝阳学校,北京市朝阳区茂兴东路11号,Chaoyang,Random,primary,5,39.89467623,116.4797216,None,None,0
北京第二实验小学涭水河分校,北京市西城区涭水河胡同45号旁门,Xicheng,Random,primary,4,39.91844739,116.3473434,None,None,0
北京第二实验小学玉桃园分校,北京市西城区西直门内大街马相胡同玉桃园三区10号楼,Xicheng,Random,primary,4,39.93916349,116.3578864,None,None,0
北京第二实验小学白云路分校,北京市西城区白云路2号,Xicheng,Random,primary,4,39.90338946,116.3371416,None,None,0
北京第二实验小学长安校区,北京市西城区东绒线胡同41号,Xicheng,Random,primary,4,39.90319468,116.37992,None,None,0
北京航空航天大学实验学校,北京市海淀区学院路37号,Haidian,None,middle,4,39.98186785,116.335356,None,None,0
北京航空航天大学实验学校,北京市海淀区学院路37号,Haidian,Nineyears,primary,3,39.98186785,116.335356,北京航空航天大学实验学校,4,1
北京西藏中学,北京市朝阳区北四环东路高原街一号,Chaoyang,None,middle,5,39.98726064,116.4219868,None,None,0
北京雷锋小学,北京市西城区旧鼓楼大街西绦胡同甲2号,Xicheng,Direct,primary,4,39.9434975,116.3876819,北京市第十三中学分校,3,0.5
北京青年政治学院附属中学,北京市朝阳区大山子西里10号,Chaoyang,None,middle,5,39.98137077,116.4817209,None,None,0
北京青年政治学院附属中学,北京市朝阳区大山子西里10号,Chaoyang,Nineyears,primary,5,39.98137077,116.4817209,北京青年政治学院附属中学,5,1
北大附中香山学校,北京市海淀区香山南辛村1号,Haidian,None,middle,5,39.98743782,116.2067731,None,None,0
