unitprice,name,age,WGS84lat,WGS84lon,lift
119209.6667,大井胡同,1989,39.95137313,116.3786762,FALSE
66035.8,国美第一城2号院,2006,39.95144272,116.5093648,TRUE
84855,水岸名居,2006,39.9514464,116.2911264,TRUE
89137,冶金大院,1964,39.95146323,116.3938721,FALSE
51144.25,上东三角洲,2004,39.95151086,116.5006213,TRUE
47854.33333,上东上层,2004,39.95151086,116.5006213,TRUE
71940,东土城路9号院,1999,39.95159971,116.4254127,TRUE
76397.66667,柳芳南里,1991,39.95169235,116.4313758,TRUE
79655,安德路55号院,1977,39.95170399,116.3911463,FALSE
74258,砖角楼南里,1985,39.95181121,116.4244153,TRUE
71763,三源里街,1994,39.95189583,116.448931,FALSE
109040.3333,天兆家园,2003,39.95199837,116.3467787,TRUE
139909,教场口街2号院,2000,39.95200005,116.3773545,FALSE
83935,上龙西里,1996,39.95204195,116.3993795,TRUE
125587.3333,教场口6号院,2003,39.95206869,116.3776246,FALSE
66735,静安苑,1989,39.95210627,116.4397932,FALSE
91408.55,今典花园,2002,39.95211544,116.3533922,TRUE
87011,润民柳芳居,2001,39.95219461,116.4349605,TRUE
83929.33333,安德路47号院,1995,39.9522352,116.3969439,FALSE
80010,上龙嘉园,1998,39.95227373,116.4006212,TRUE
84271.16667,西营房,2006,39.95229279,116.3975988,TRUE
111815.3871,教场口9号院,2003,39.95231443,116.3752594,TRUE
89275.25,志强北园,1994,39.95232188,116.3595008,FALSE
89964,青年湖南里,1990,39.95248466,116.4003223,FALSE
65413,香河园中里,1981,39.9525581,116.4406326,FALSE
79937,富海中心,2004,39.95258171,116.3286987,TRUE
99477,大柳树甲17号院,1986,39.95259378,116.3274875,FALSE
132036.4444,新外大街28号院,1984,39.95265033,116.366446,FALSE
96809.71429,韦伯豪家园,2001,39.95271942,116.3137295,TRUE
101923.1429,远大园五区,2001,39.9527901,116.2771609,TRUE
122114.1111,六铺炕三区,1999,39.95285585,116.3804083,TRUE
64662,文慧园路21号,1985,39.95287929,116.3569841,FALSE
139874,德胜里西街5号院,1976,39.95303062,116.3696034,FALSE
100717.3636,远大园四区,2000,39.95312026,116.2792841,TRUE
